18:24:12.261 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
18:24:12.283 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
18:24:12.284 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
18:24:12.503 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests
18:24:12.615 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
18:24:12.637 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6e9319f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@72e34f77, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7bf9b098, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@389adf1d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@77307458, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1fc0053e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@290b1b2e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@47874b25, org.springframework.test.context.event.EventPublishingTestExecutionListener@33617539, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2c177f9e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5db4c359, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@209775a9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@18e7143f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@f9b7332, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@74cec793]
18:24:13.254 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 11.0.29 on DHAKITIKI with PID 14456 (started by NIKITA in C:\Users\NIKITA\Desktop\springboot\journalApp)
18:24:13.255 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "prod"
18:24:14.107 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
18:24:14.191 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 69 ms. Found 2 MongoDB repository interfaces.
18:24:15.149 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-srv-cluster0.duscwgn.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017 to client view of cluster
18:24:15.153 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/11.0.29+7"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='journaluser', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@5707f613]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.duscwgn.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-evkqo1-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
18:24:15.182 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-srv-cluster0.duscwgn.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017 to client view of cluster
18:24:15.183 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-srv-cluster0.duscwgn.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017 to client view of cluster
18:24:15.744 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@1785d194 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
18:24:16.087 [cluster-rtt-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:3395515}] to ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017
18:24:16.087 [cluster-rtt-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:3404263}] to ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017
18:24:16.087 [cluster-rtt-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:3531538}] to ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017
18:24:16.087 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:3395515}] to ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017
18:24:16.087 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:3531552}] to ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017
18:24:16.087 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:3404266}] to ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017
18:24:16.090 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=567234400, setName='atlas-evkqo1-shard-0', canonicalAddress=ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017, hosts=[ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017], passives=[], arbiters=[], primary='ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000161, setVersion=308, topologyVersion=TopologyVersion{processId=6942e3aa53f7a5910c5ea7b8, counter=6}, lastWriteDate=Sun Jan 11 18:24:14 IST 2026, lastUpdateTimeNanos=7061228516700}
18:24:16.090 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=565324100, setName='atlas-evkqo1-shard-0', canonicalAddress=ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, hosts=[ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017], passives=[], arbiters=[], primary='ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=308, topologyVersion=TopologyVersion{processId=6942e367b7968962a05273a8, counter=4}, lastWriteDate=Sun Jan 11 18:24:14 IST 2026, lastUpdateTimeNanos=7061228524400}
18:24:16.090 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=567392000, setName='atlas-evkqo1-shard-0', canonicalAddress=ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, hosts=[ac-fr2buau-shard-00-02.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-00.duscwgn.mongodb.net:27017, ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017], passives=[], arbiters=[], primary='ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=308, topologyVersion=TopologyVersion{processId=6942e3ee92b93fb3d95398cb, counter=3}, lastWriteDate=Sun Jan 11 18:24:14 IST 2026, lastUpdateTimeNanos=7061228642400}
18:24:16.100 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000161 from replica set primary ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017
18:24:16.100 [cluster-ClusterId{value='69639d777fd73e30fed06c18', description='null'}-ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 308 from replica set primary ac-fr2buau-shard-00-01.duscwgn.mongodb.net:27017
